titulo,empresa,data,link
Operador(a) de Caixa - Repositor(a) Maringa,Supermercados Bom Dia Paraiso,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461596/operadora-de-caixa-repositora-maringa/maringa/pr
Açougueiro,Mercado de Carnes Nelore,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461593/acougueiro/maringa/pr
"Auxiliar Geral - Pastel do Robertos - Av. Prudente de Morais, 775 - Zona 7",Matsuri Restaurante,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461591/auxiliar-geral-pastel-do-robertos-av-prudente-de-morais-775-zona-7/maringa/pr
Atendimento / Garçom,Matsuri Restaurante,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461590/atendimento-garcom/maringa/pr
Balconista - Atendente Horário 14:50 Ás 21:00,Holandesa Padaria,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461261/balconista-atendente-horario-1450-As-2100/maringa/pr
"Auxiliar de Produção de Lentes Oftálmicas, Triagem de Lentes e Expedição.",Indio Produtos ópticos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461585/auxiliar-de-producao-de-lentes-oftalmicas-triagem-de-lentes-e-expedicao/maringa/pr
Atendente de Loja - Shopping,Beyond Hr,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461584/atendente-de-loja-shopping/sao-paulo/sp
Contrata-se - Vendedor (a) - Shopping,Tommy Hilfiger,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461579/contrata-se-vendedor-a-shopping/maringa/pr
Restaurante Mexicano Contrata Atendente Para Balcão,Jaladeros Cocina Mexicana,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461573/restaurante-mexicano-contrata-atendente-para-balcao/maringa/pr
Professor(a) de Inglês,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461589/professora-de-ingles/maringa/pr
Gerente de Produção,Vidraçaria Art Liberdade,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461587/gerente-de-producao/maringa/pr
Açougueiro - Mercado,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461583/acougueiro-mercado/maringa/pr
Açougueiro Com Experiência em Desossa,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461582/acougueiro-com-experiencia-em-desossa/maringa/pr
Auxiliar de Expedição - Sarandi,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461575/auxiliar-de-expedicao-sarandi/maringa/pr
